,id,utcDate,status,matchday,stage,group,lastUpdated,referees,season.id,season.startDate,season.endDate,season.currentMatchday,odds.msg,score.winner,score.duration,score.fullTime.homeTeam,score.fullTime.awayTeam,score.halfTime.homeTeam,score.halfTime.awayTeam,score.extraTime.homeTeam,score.extraTime.awayTeam,score.penalties.homeTeam,score.penalties.awayTeam,homeTeam.id,homeTeam.name,awayTeam.id,awayTeam.name
10,303773,2020-09-19T16:30:00Z,FINISHED,2,REGULAR_SEASON,Regular Season,2020-09-20T10:25:15Z,"[{'id': 11551, 'name': 'Martin Atkinson', 'role': 'REF', 'nationality': 'England'}, {'id': 11530, 'name': 'Lee Betts', 'role': 'REF', 'nationality': 'England'}, {'id': 11552, 'name': 'Peter Kirkup', 'role': 'REF', 'nationality': 'England'}, {'id': 11446, 'name': 'Robert Jones', 'role': 'REF', 'nationality': 'England'}, {'id': 11567, 'name': 'Jonathan Moss', 'role': 'REF', 'nationality': 'England'}]",619,2020-09-12,2021-05-23,38,Activate Odds-Package in User-Panel to retrieve odds.,AWAY_TEAM,REGULAR,1,3,0,1,,,,,66,Manchester United FC,354,Crystal Palace FC
11,303770,2020-09-19T19:00:00Z,FINISHED,2,REGULAR_SEASON,Regular Season,2020-09-20T10:25:15Z,"[{'id': 11605, 'name': 'Michael Oliver', 'role': 'REF', 'nationality': 'England'}, {'id': 11564, 'name': 'Stuart Burt', 'role': 'REF', 'nationality': 'England'}, {'id': 11756, 'name': 'Stephen Bennett', 'role': 'REF', 'nationality': None}, {'id': 11469, 'name': 'Darren England', 'role': 'REF', 'nationality': 'England'}, {'id': 11443, 'name': 'Chris Kavanagh', 'role': 'REF', 'nationality': 'England'}]",619,2020-09-12,2021-05-23,38,Activate Odds-Package in User-Panel to retrieve odds.,HOME_TEAM,REGULAR,2,1,1,1,,,,,57,Arsenal FC,563,West Ham United FC
12,303776,2020-09-20T11:00:00Z,FINISHED,2,REGULAR_SEASON,Regular Season,2020-09-20T21:05:39Z,"[{'id': 11556, 'name': 'David Coote', 'role': 'REF', 'nationality': 'England'}, {'id': 11570, 'name': 'Harry Lennard', 'role': 'REF', 'nationality': 'England'}, {'id': 11425, 'name': 'Nicholas Hopton', 'role': 'REF', 'nationality': 'England'}, {'id': 11519, 'name': 'Keith Stroud', 'role': 'REF', 'nationality': 'England'}, {'id': 11443, 'name': 'Chris Kavanagh', 'role': 'REF', 'nationality': 'England'}]",619,2020-09-12,2021-05-23,38,Activate Odds-Package in User-Panel to retrieve odds.,AWAY_TEAM,REGULAR,2,5,1,1,,,,,340,Southampton FC,73,Tottenham Hotspur FC
13,303769,2020-09-20T13:00:00Z,FINISHED,2,REGULAR_SEASON,Regular Season,2020-09-20T17:59:40Z,"[{'id': 11487, 'name': 'Kevin Friend', 'role': 'REF', 'nationality': 'England'}, {'id': 11544, 'name': 'Simon Beck', 'role': 'REF', 'nationality': 'England'}, {'id': 11595, 'name': 'Adrian Holmes', 'role': 'REF', 'nationality': 'England'}, {'id': 11446, 'name': 'Robert Jones', 'role': 'REF', 'nationality': 'England'}, {'id': 11585, 'name': 'Craig Pawson', 'role': 'REF', 'nationality': 'England'}]",619,2020-09-12,2021-05-23,38,Activate Odds-Package in User-Panel to retrieve odds.,AWAY_TEAM,REGULAR,0,3,0,2,,,,,67,Newcastle United FC,397,Brighton & Hove Albion FC
14,303771,2020-09-20T15:30:00Z,FINISHED,2,REGULAR_SEASON,Regular Season,2020-11-14T08:35:41Z,"[{'id': 11520, 'name': 'Paul Tierney', 'role': 'REF', 'nationality': 'England'}, {'id': 11438, 'name': 'Dan Cook', 'role': 'REF', 'nationality': 'England'}, {'id': 11606, 'name': 'Constantine Hatzidakis', 'role': 'REF', 'nationality': 'England'}, {'id': 11494, 'name': 'Stuart Attwell', 'role': 'REF', 'nationality': 'England'}, {'id': 11605, 'name': 'Michael Oliver', 'role': 'REF', 'nationality': 'England'}]",619,2020-09-12,2021-05-23,38,Activate Odds-Package in User-Panel to retrieve odds.,AWAY_TEAM,REGULAR,0,2,0,0,,,,,61,Chelsea FC,64,Liverpool FC
15,303774,2020-09-20T18:00:00Z,FINISHED,2,REGULAR_SEASON,Regular Season,2020-09-21T01:20:05Z,"[{'id': 11479, 'name': 'Lee Mason', 'role': 'REF', 'nationality': 'England'}, {'id': 11521, 'name': 'Mark Scholes', 'role': 'REF', 'nationality': 'England'}, {'id': 11531, 'name': 'Marc Perry', 'role': 'REF', 'nationality': 'England'}, {'id': 11469, 'name': 'Darren England', 'role': 'REF', 'nationality': 'England'}, {'id': 11423, 'name': 'Andy Madley', 'role': 'REF', 'nationality': 'England'}]",619,2020-09-12,2021-05-23,38,Activate Odds-Package in User-Panel to retrieve odds.,HOME_TEAM,REGULAR,4,2,1,1,,,,,338,Leicester City FC,328,Burnley FC
16,303768,2020-09-21T17:00:00Z,FINISHED,2,REGULAR_SEASON,Regular Season,2020-11-14T08:35:41Z,"[{'id': 11503, 'name': 'Graham Scott', 'role': 'REF', 'nationality': 'England'}, {'id': 11480, 'name': 'Eddie Smart', 'role': 'REF', 'nationality': 'England'}, {'id': 11505, 'name': 'Derek Eaton', 'role': 'REF', 'nationality': 'England'}, {'id': 11430, 'name': 'Simon Hooper', 'role': 'REF', 'nationality': 'England'}, {'id': 11575, 'name': 'Mike Dean', 'role': 'REF', 'nationality': 'England'}]",619,2020-09-12,2021-05-23,38,Activate Odds-Package in User-Panel to retrieve odds.,HOME_TEAM,REGULAR,1,0,0,0,,,,,58,Aston Villa FC,356,Sheffield United FC
17,303767,2020-09-21T19:15:00Z,FINISHED,2,REGULAR_SEASON,Regular Season,2020-09-22T02:55:05Z,"[{'id': 11610, 'name': 'Andre Marriner', 'role': 'REF', 'nationality': 'England'}, {'id': 11611, 'name': 'Scott Ledger', 'role': 'REF', 'nationality': 'England'}, {'id': 11504, 'name': 'Simon Long', 'role': 'REF', 'nationality': 'England'}, {'id': 11567, 'name': 'Jonathan Moss', 'role': 'REF', 'nationality': 'England'}, {'id': 11309, 'name': 'Peter Bankes', 'role': 'REF', 'nationality': 'England'}]",619,2020-09-12,2021-05-23,38,Activate Odds-Package in User-Panel to retrieve odds.,AWAY_TEAM,REGULAR,1,3,0,2,,,,,76,Wolverhampton Wanderers FC,65,Manchester City FC
18,303786,2020-09-26T11:30:00Z,FINISHED,3,REGULAR_SEASON,Regular Season,2020-09-26T21:27:17Z,"[{'id': 11443, 'name': 'Chris Kavanagh', 'role': 'REF', 'nationality': 'England'}, {'id': 98555, 'name': 'Sian Massey-Ellis', 'role': 'REF', 'nationality': 'England'}, {'id': 11606, 'name': 'Constantine Hatzidakis', 'role': 'REF', 'nationality': 'England'}, {'id': 11503, 'name': 'Graham Scott', 'role': 'REF', 'nationality': 'England'}, {'id': 11430, 'name': 'Simon Hooper', 'role': 'REF', 'nationality': 'England'}]",619,2020-09-12,2021-05-23,38,Activate Odds-Package in User-Panel to retrieve odds.,AWAY_TEAM,REGULAR,2,3,1,1,,,,,397,Brighton & Hove Albion FC,66,Manchester United FC
19,303785,2020-09-26T14:00:00Z,FINISHED,3,REGULAR_SEASON,Regular Season,2020-09-26T18:59:40Z,"[{'id': 11487, 'name': 'Kevin Friend', 'role': 'REF', 'nationality': 'England'}, {'id': 11544, 'name': 'Simon Beck', 'role': 'REF', 'nationality': 'England'}, {'id': 11480, 'name': 'Eddie Smart', 'role': 'REF', 'nationality': 'England'}, {'id': 9382, 'name': 'Gavin Ward', 'role': 'REF', 'nationality': 'England'}, {'id': 11580, 'name': 'Anthony Taylor', 'role': 'REF', 'nationality': 'England'}]",619,2020-09-12,2021-05-23,38,Activate Odds-Package in User-Panel to retrieve odds.,AWAY_TEAM,REGULAR,1,2,1,2,,,,,354,Crystal Palace FC,62,Everton FC
